pr_number,delay_probability,delay_prediction,delay_prediction_confidence,delay_prediction_threshold,delay_prediction_model_name
5101,0.07028358747405467,0,0.9297164125259454,0.75,logistic_candidate_07
5108,0.0328875427275229,0,0.9671124572724771,0.75,logistic_candidate_07
5127,0.9746098546861076,1,0.9746098546861076,0.75,logistic_candidate_07
5150,0.11431577481463955,0,0.8856842251853605,0.75,logistic_candidate_07
5180,0.07348612853256213,0,0.9265138714674379,0.75,logistic_candidate_07
5182,0.08308883107794475,0,0.9169111689220553,0.75,logistic_candidate_07
5184,0.22416098137657506,0,0.775839018623425,0.75,logistic_candidate_07
5187,0.4128802519620319,0,0.5871197480379682,0.75,logistic_candidate_07
5212,0.08978132037626137,0,0.9102186796237386,0.75,logistic_candidate_07
5217,0.6207330356985072,0,0.37926696430149276,0.75,logistic_candidate_07
5232,0.005193756883524377,0,0.9948062431164756,0.75,logistic_candidate_07
5242,0.11079355517235367,0,0.8892064448276463,0.75,logistic_candidate_07
5248,0.31288543943730224,0,0.6871145605626978,0.75,logistic_candidate_07
5264,0.4850165652642313,0,0.5149834347357687,0.75,logistic_candidate_07
5270,0.9148755205233426,1,0.9148755205233426,0.75,logistic_candidate_07
5287,0.22398934162439063,0,0.7760106583756093,0.75,logistic_candidate_07
5303,0.02488026350176019,0,0.9751197364982398,0.75,logistic_candidate_07
5313,0.7422012243699977,0,0.2577987756300023,0.75,logistic_candidate_07
5330,4.3879590535351815e-07,0,0.9999995612040946,0.75,logistic_candidate_07
5336,0.11083566673578937,0,0.8891643332642106,0.75,logistic_candidate_07
5344,0.9709005428603041,1,0.9709005428603041,0.75,logistic_candidate_07
5352,0.0029202923846348124,0,0.9970797076153652,0.75,logistic_candidate_07
5355,0.9560691184907648,1,0.9560691184907648,0.75,logistic_candidate_07
5374,3.455721529599969e-06,0,0.9999965442784704,0.75,logistic_candidate_07
5377,0.8654011903676954,1,0.8654011903676954,0.75,logistic_candidate_07
5382,0.04626433284586434,0,0.9537356671541357,0.75,logistic_candidate_07
5386,0.04739252647805252,0,0.9526074735219475,0.75,logistic_candidate_07
5389,0.8278187428958794,1,0.8278187428958794,0.75,logistic_candidate_07
5393,0.8728219546781851,1,0.8728219546781851,0.75,logistic_candidate_07
5401,8.09732877059175e-09,0,0.9999999919026712,0.75,logistic_candidate_07
5403,0.04470337763367489,0,0.9552966223663251,0.75,logistic_candidate_07
5423,0.8268573960570009,1,0.8268573960570009,0.75,logistic_candidate_07
5457,0.9952481732942013,1,0.9952481732942013,0.75,logistic_candidate_07
5460,0.7426229376482432,0,0.25737706235175684,0.75,logistic_candidate_07
5464,0.8621855269632208,1,0.8621855269632208,0.75,logistic_candidate_07
5470,9.053691642481858e-07,0,0.9999990946308358,0.75,logistic_candidate_07
5476,1.1510140426859145e-07,0,0.9999998848985957,0.75,logistic_candidate_07
5481,0.024977705542164986,0,0.9750222944578351,0.75,logistic_candidate_07
5487,0.06486414113756049,0,0.9351358588624396,0.75,logistic_candidate_07
5493,0.0016638257317479375,0,0.998336174268252,0.75,logistic_candidate_07
5499,0.9939062618814134,1,0.9939062618814134,0.75,logistic_candidate_07
5514,1.7472228025960515e-05,0,0.999982527771974,0.75,logistic_candidate_07
5516,2.474633007934836e-05,0,0.9999752536699207,0.75,logistic_candidate_07
5517,0.43508008493009676,0,0.5649199150699032,0.75,logistic_candidate_07
5522,0.11881954376345845,0,0.8811804562365415,0.75,logistic_candidate_07
5526,0.2960965360898937,0,0.7039034639101063,0.75,logistic_candidate_07
5539,0.02105908805911657,0,0.9789409119408834,0.75,logistic_candidate_07
5541,0.3373620555836567,0,0.6626379444163433,0.75,logistic_candidate_07
5599,0.9521250557684345,1,0.9521250557684345,0.75,logistic_candidate_07
5609,0.9615454265538631,1,0.9615454265538631,0.75,logistic_candidate_07
5615,0.1665887717334268,0,0.8334112282665732,0.75,logistic_candidate_07
5623,0.01710783785371508,0,0.9828921621462849,0.75,logistic_candidate_07
5630,0.4935591276340173,0,0.5064408723659827,0.75,logistic_candidate_07
5634,0.5489583596551735,0,0.4510416403448265,0.75,logistic_candidate_07
5647,0.049769298848587336,0,0.9502307011514126,0.75,logistic_candidate_07
5659,0.960074709929382,1,0.960074709929382,0.75,logistic_candidate_07
5671,0.9720158131921479,1,0.9720158131921479,0.75,logistic_candidate_07
5674,0.9641817981088159,1,0.9641817981088159,0.75,logistic_candidate_07
5695,0.8420679841526947,1,0.8420679841526947,0.75,logistic_candidate_07
5700,0.2270048076048474,0,0.7729951923951526,0.75,logistic_candidate_07
5701,0.16777080578004783,0,0.8322291942199522,0.75,logistic_candidate_07
5702,0.2210638486051034,0,0.7789361513948966,0.75,logistic_candidate_07
5723,0.983495505933155,1,0.983495505933155,0.75,logistic_candidate_07
5727,0.29824608728115676,0,0.7017539127188432,0.75,logistic_candidate_07
5730,0.01799657232301992,0,0.9820034276769801,0.75,logistic_candidate_07
5731,0.0018688947976171584,0,0.9981311052023828,0.75,logistic_candidate_07
5736,0.9559281541903135,1,0.9559281541903135,0.75,logistic_candidate_07
5737,0.2980280343558615,0,0.7019719656441386,0.75,logistic_candidate_07
5742,0.9857484629563251,1,0.9857484629563251,0.75,logistic_candidate_07
5754,0.2034561831361174,0,0.7965438168638825,0.75,logistic_candidate_07
5757,0.008339012151458472,0,0.9916609878485415,0.75,logistic_candidate_07
5777,0.7950778409208278,1,0.7950778409208278,0.75,logistic_candidate_07
5795,0.9220933181336823,1,0.9220933181336823,0.75,logistic_candidate_07
5797,0.2293742347064819,0,0.7706257652935181,0.75,logistic_candidate_07
5798,0.7936433330545047,1,0.7936433330545047,0.75,logistic_candidate_07
5799,0.34399180130308843,0,0.6560081986969115,0.75,logistic_candidate_07
5800,0.01727683225948529,0,0.9827231677405147,0.75,logistic_candidate_07
5808,0.9066049574957215,1,0.9066049574957215,0.75,logistic_candidate_07
5812,0.18393467334000219,0,0.8160653266599978,0.75,logistic_candidate_07
5818,0.84136336573785,1,0.84136336573785,0.75,logistic_candidate_07
5827,0.9907407282947718,1,0.9907407282947718,0.75,logistic_candidate_07
5829,0.24224355076013088,0,0.7577564492398692,0.75,logistic_candidate_07
5844,0.9594029364299322,1,0.9594029364299322,0.75,logistic_candidate_07
5865,0.9066326703014125,1,0.9066326703014125,0.75,logistic_candidate_07
5898,0.581660299102048,0,0.418339700897952,0.75,logistic_candidate_07
5899,0.043919367634177746,0,0.9560806323658223,0.75,logistic_candidate_07
5900,0.3615488194686789,0,0.6384511805313211,0.75,logistic_candidate_07
5903,0.08338954265849505,0,0.9166104573415049,0.75,logistic_candidate_07
5917,0.36217685445837067,0,0.6378231455416293,0.75,logistic_candidate_07
5924,0.032434404669328704,0,0.9675655953306713,0.75,logistic_candidate_07
5928,0.3790137973495568,0,0.6209862026504431,0.75,logistic_candidate_07
5945,0.3064252610011098,0,0.6935747389988902,0.75,logistic_candidate_07
5962,0.3180412692095465,0,0.6819587307904535,0.75,logistic_candidate_07
6013,0.05376166732598681,0,0.9462383326740131,0.75,logistic_candidate_07
